r1_domain,r2_domain,r1_h_index,r2_h_index,r1_publications,r2_publications,r1_years_experience,r2_years_experience,r1_institution,r2_institution,r1_country,r2_country,r1_citations,r2_citations,r1_grants,r2_grants,shared_keywords,same_domain,same_institution_type,same_country,h_index_diff,experience_diff,total_grants,avg_publications,compatibility_score,compatible
IoT,Cloud Computing,4,26,23,47,5,12,Research Institute,IIT,UK,Canada,391,1034,3,2,1,0,0,0,22,7,5,35.0,52,0
Computer Vision,Data Science,14,9,39,21,1,29,Research Institute,IIT,UK,UK,468,483,9,1,0,0,0,1,5,28,10,30.0,56,1
Cybersecurity,Machine Learning,6,5,41,33,19,4,NIT,Central University,Germany,Australia,533,264,6,9,0,0,0,0,1,15,15,37.0,48,0
NLP,Bioinformatics,18,11,54,19,17,23,Research Institute,Research Institute,India,Australia,594,133,7,8,1,0,1,0,7,6,15,36.5,51,0
Robotics,NLP,10,8,14,29,19,19,NIT,Research Institute,UK,Australia,294,551,3,4,0,0,0,0,2,0,7,21.5,52,0
Machine Learning,IoT,8,10,16,29,16,23,Research Institute,IIT,UK,India,176,435,4,1,0,0,0,0,2,7,5,22.5,61,1
Data Science,Machine Learning,6,9,25,32,14,5,Central University,NIT,USA,Australia,425,320,7,2,1,0,0,0,3,9,9,28.5,85,1
Computer Vision,IoT,14,11,30,17,13,7,IIT,IIT,Canada,Australia,240,119,3,1,1,0,1,0,3,6,4,23.5,64,1
NLP,IoT,19,5,40,25,13,3,NIT,Research Institute,Canada,USA,840,575,8,3,0,0,0,0,14,10,11,32.5,54,0
Bioinformatics,Cybersecurity,9,5,22,22,22,8,Research Institute,NIT,Australia,Australia,154,176,6,9,1,0,0,1,4,14,15,22.0,57,1
Robotics,Data Science,14,5,23,13,17,3,Central University,Private University,Germany,Australia,299,130,0,1,0,0,0,0,9,14,1,18.0,11,0
IoT,Robotics,12,8,37,25,13,11,IIT,IIT,USA,UK,333,525,6,0,1,0,1,0,4,2,6,31.0,63,1
Machine Learning,Robotics,19,8,36,43,17,10,Research Institute,Research Institute,Australia,USA,324,989,4,0,0,0,1,0,11,7,4,39.5,40,0
Machine Learning,Machine Learning,10,5,22,17,1,2,IIT,NIT,Canada,India,462,119,7,1,6,1,0,0,5,1,8,19.5,71,1
Machine Learning,Cloud Computing,7,14,23,25,15,28,Central University,NIT,India,UK,437,150,4,5,1,0,0,0,7,13,9,24.0,31,0
IoT,NLP,12,9,24,45,25,5,NIT,Research Institute,Australia,Australia,240,360,0,9,1,0,0,1,3,20,9,34.5,66,1
IoT,Cybersecurity,3,3,19,50,21,16,NIT,NIT,Germany,India,114,600,2,3,1,0,1,0,0,5,5,34.5,48,0
Computer Vision,Cybersecurity,4,14,22,23,18,6,Private University,Private University,UK,Germany,506,115,2,4,0,0,1,0,10,12,6,22.5,28,0
Machine Learning,Cybersecurity,4,2,23,11,9,17,IIT,Central University,India,India,437,88,8,0,1,0,0,1,2,8,8,17.0,71,1
Robotics,Cloud Computing,9,10,27,32,14,11,NIT,Private University,USA,USA,486,608,7,1,1,0,0,1,1,3,8,29.5,65,1
Cybersecurity,IoT,5,5,17,24,10,13,NIT,NIT,UK,India,187,576,8,8,1,0,1,0,0,3,16,20.5,54,0
IoT,Machine Learning,5,8,17,14,2,20,Research Institute,Research Institute,India,India,323,84,7,7,0,0,1,1,3,18,14,15.5,52,0
Computer Vision,Cybersecurity,15,4,28,30,11,22,NIT,Private University,USA,Germany,364,630,6,7,1,0,0,0,11,11,13,29.0,40,0
Robotics,NLP,9,21,30,33,13,17,Private University,Private University,India,India,480,528,4,0,1,0,1,1,12,4,4,31.5,45,0
Cybersecurity,Bioinformatics,3,10,13,52,11,2,Central University,Private University,Germany,Canada,91,884,0,7,1,0,0,0,7,9,7,32.5,59,1
Cloud Computing,Robotics,2,13,31,27,24,11,Private University,Central University,USA,USA,310,351,6,1,1,0,0,1,11,13,7,29.0,34,0
Machine Learning,Cloud Computing,18,19,41,42,8,19,Research Institute,IIT,Canada,Canada,615,756,8,9,1,0,0,1,1,11,17,41.5,53,0
Data Science,Quantum Computing,11,13,48,17,8,17,IIT,Private University,India,Australia,864,85,2,6,1,0,0,0,2,9,8,32.5,63,1
Cloud Computing,Cloud Computing,18,3,38,24,3,20,NIT,IIT,India,USA,418,264,2,3,6,1,0,0,15,17,5,31.0,57,1
Computer Vision,Robotics,7,13,35,28,4,15,Research Institute,Private University,India,India,210,224,9,7,1,0,0,1,6,11,16,31.5,54,0
Quantum Computing,Quantum Computing,10,6,25,31,2,10,NIT,IIT,Australia,Australia,575,372,2,5,6,1,0,1,4,8,7,28.0,87,1
Computer Vision,Quantum Computing,19,3,45,27,8,16,Private University,Research Institute,Canada,Australia,990,216,8,4,1,0,0,0,16,8,12,36.0,41,0
Data Science,Data Science,19,4,39,17,22,23,Central University,NIT,USA,UK,897,85,7,5,6,1,0,0,15,1,12,28.0,80,1
Cybersecurity,Bioinformatics,6,8,20,34,20,18,NIT,Private University,Canada,UK,260,204,2,0,1,0,0,0,2,2,2,27.0,60,1
Computer Vision,Quantum Computing,9,10,26,39,20,28,IIT,Research Institute,Germany,India,260,858,4,4,0,0,0,0,1,8,8,32.5,56,1
Computer Vision,Cloud Computing,26,6,33,25,8,19,Research Institute,Central University,USA,USA,693,525,6,7,0,0,0,1,20,11,13,29.0,49,0
Data Science,Data Science,15,7,26,27,17,3,IIT,Central University,USA,USA,572,378,5,9,6,1,0,1,8,14,14,26.5,75,1
IoT,Bioinformatics,18,3,37,24,7,8,Research Institute,Research Institute,Canada,Canada,444,456,0,4,0,0,1,1,15,1,4,30.5,45,0
Cloud Computing,Cloud Computing,4,3,29,14,14,1,IIT,Central University,Canada,Canada,522,322,3,2,6,1,0,1,1,13,5,21.5,97,1
Computer Vision,Computer Vision,4,16,16,29,12,3,NIT,IIT,UK,Canada,384,696,4,9,6,1,0,0,12,9,13,22.5,78,1
Cloud Computing,Bioinformatics,14,24,32,49,19,11,NIT,Research Institute,UK,USA,672,882,8,3,1,0,0,0,10,8,11,40.5,49,0
Data Science,Bioinformatics,15,11,45,18,10,23,NIT,Research Institute,Canada,Germany,360,252,8,5,0,0,0,0,4,13,13,31.5,50,0
Bioinformatics,Cybersecurity,5,2,31,11,10,28,IIT,Central University,India,India,527,165,0,0,0,0,0,1,3,18,0,21.0,43,0
Machine Learning,Bioinformatics,7,24,38,40,8,1,Central University,NIT,USA,Canada,266,320,5,3,0,0,0,0,17,7,8,39.0,39,0
IoT,Cybersecurity,10,4,30,13,9,8,Research Institute,Research Institute,Canada,India,180,182,4,8,0,0,1,0,6,1,12,21.5,32,0
Computer Vision,NLP,11,14,34,27,2,25,IIT,Research Institute,Canada,India,544,567,2,7,0,0,0,0,3,23,9,30.5,47,0
Data Science,NLP,17,17,42,46,8,10,Research Institute,Private University,Australia,USA,924,920,8,6,0,0,0,0,0,2,14,44.0,61,1
Machine Learning,Machine Learning,11,17,27,20,18,24,Central University,Central University,UK,USA,648,140,6,1,6,1,1,0,6,6,7,23.5,74,1
Robotics,Cloud Computing,1,6,33,35,24,10,IIT,Private University,UK,Australia,693,560,3,1,0,0,0,0,5,14,4,34.0,32,0
NLP,NLP,9,8,38,22,7,25,NIT,Private University,USA,India,684,308,3,8,6,1,0,0,1,18,11,30.0,76,1
NLP,Robotics,20,12,40,48,24,15,Central University,Central University,Germany,USA,880,624,3,0,0,0,1,0,8,9,3,44.0,25,0
Computer Vision,IoT,14,8,30,27,13,22,Private University,NIT,India,USA,180,621,8,9,0,0,0,0,6,9,17,28.5,41,0
IoT,Robotics,7,7,24,17,5,24,Central University,NIT,UK,India,216,119,5,2,1,0,0,0,0,19,7,20.5,67,1
Robotics,Bioinformatics,10,3,18,16,2,2,Private University,IIT,UK,UK,270,256,8,9,0,0,0,1,7,0,17,17.0,54,0
Data Science,Cloud Computing,12,7,53,26,15,16,Research Institute,Central University,Germany,India,530,442,7,4,0,0,0,0,5,1,11,39.5,51,0
Computer Vision,Quantum Computing,14,10,32,31,8,27,Central University,Central University,USA,India,544,620,0,8,0,0,1,0,4,19,8,31.5,35,0
Computer Vision,Data Science,10,10,23,27,13,13,Research Institute,Central University,Germany,Germany,529,432,6,6,1,0,0,1,0,0,12,25.0,67,1
Quantum Computing,Cybersecurity,9,7,28,20,28,2,Research Institute,Research Institute,India,USA,476,380,2,4,0,0,1,0,2,26,6,24.0,38,0
Bioinformatics,Cybersecurity,11,6,24,24,12,14,IIT,IIT,Canada,Australia,504,456,9,3,0,0,1,0,5,2,12,24.0,42,0
Cloud Computing,Cybersecurity,3,8,36,17,15,9,NIT,IIT,UK,Canada,684,187,2,6,0,0,0,0,5,6,8,26.5,70,1
Data Science,Computer Vision,15,4,47,41,12,1,Research Institute,Central University,UK,Australia,893,410,4,1,0,0,0,0,11,11,5,44.0,29,0
Bioinformatics,Cybersecurity,9,10,25,32,16,20,Private University,Central University,UK,Australia,300,352,8,2,0,0,0,0,1,4,10,28.5,66,1
NLP,Cybersecurity,16,4,39,20,17,22,NIT,NIT,Germany,Australia,624,120,3,7,1,0,1,0,12,5,10,29.5,37,0
Quantum Computing,Cloud Computing,22,10,37,33,6,24,Central University,IIT,Germany,UK,555,429,8,0,1,0,0,0,12,18,8,35.0,35,0
Bioinformatics,Quantum Computing,8,10,18,15,10,1,NIT,Research Institute,Germany,Canada,216,255,1,3,1,0,0,0,2,9,4,16.5,46,0
Data Science,IoT,9,10,19,29,2,9,Private University,NIT,Germany,Australia,266,290,6,8,0,0,0,0,1,7,14,24.0,58,1
IoT,Computer Vision,12,24,34,54,15,9,NIT,Central University,Canada,Australia,374,756,3,1,1,0,0,0,12,6,4,44.0,43,0
Quantum Computing,Robotics,6,12,20,34,23,12,Central University,Central University,India,USA,360,748,3,5,1,0,1,0,6,11,8,27.0,43,0
Robotics,Machine Learning,9,7,28,28,29,24,NIT,NIT,India,Germany,532,672,0,4,1,0,1,0,2,5,4,28.0,51,0
Quantum Computing,Cybersecurity,9,8,44,46,9,6,IIT,Research Institute,Germany,USA,352,506,9,9,0,0,0,0,1,3,18,45.0,68,1
Cybersecurity,Robotics,5,11,14,24,21,12,Private University,NIT,Germany,Canada,266,432,0,1,0,0,0,0,6,9,1,19.0,29,0
Machine Learning,Robotics,8,21,38,48,15,25,IIT,NIT,Germany,Canada,684,288,7,2,0,0,0,0,13,10,9,43.0,36,0
Cloud Computing,Cloud Computing,15,2,28,22,15,20,Private University,NIT,India,India,420,264,9,0,6,1,0,1,13,5,9,25.0,91,1
IoT,Cloud Computing,18,10,25,42,17,29,NIT,Research Institute,Germany,Australia,525,1008,7,1,1,0,0,0,8,12,8,33.5,38,0
Data Science,Cloud Computing,7,8,22,30,3,10,Private University,Private University,Australia,Australia,220,720,4,4,1,0,1,1,1,7,8,26.0,65,1
IoT,IoT,9,15,31,26,23,18,NIT,Private University,Canada,UK,496,130,5,6,6,1,0,0,6,5,11,28.5,80,1
Robotics,IoT,8,9,28,29,26,25,Central University,NIT,Australia,UK,420,522,9,3,0,0,0,0,1,1,12,28.5,65,1
IoT,Bioinformatics,12,3,22,30,26,13,IIT,NIT,Canada,UK,132,390,1,4,0,0,0,0,9,13,5,26.0,35,0
Data Science,Computer Vision,10,13,22,37,19,24,Central University,NIT,Australia,USA,220,407,1,8,0,0,0,0,3,5,9,29.5,69,1
Robotics,NLP,17,2,53,40,29,8,Private University,NIT,Canada,India,265,720,0,9,1,0,0,0,15,21,9,46.5,35,0
Cybersecurity,Cloud Computing,9,9,16,25,11,15,Private University,Private University,UK,Germany,320,200,6,4,0,0,1,0,0,4,10,20.5,78,1
Machine Learning,Cybersecurity,11,8,18,28,27,13,NIT,Research Institute,Germany,Canada,342,224,2,9,0,0,0,0,3,14,11,23.0,50,0
Machine Learning,IoT,6,11,27,28,24,22,Research Institute,IIT,Germany,UK,567,140,9,7,0,0,0,0,5,2,16,27.5,49,0
Bioinformatics,Cloud Computing,13,11,63,20,15,18,Private University,Research Institute,Germany,Australia,882,460,7,3,1,0,0,0,2,3,10,41.5,56,1
Robotics,Bioinformatics,6,5,26,20,18,16,Private University,Private University,USA,Germany,234,180,0,2,1,0,1,0,1,2,2,23.0,46,0
Machine Learning,Cybersecurity,11,3,25,16,25,9,Private University,NIT,UK,Germany,150,336,2,6,1,0,0,0,8,16,8,20.5,35,0
NLP,Machine Learning,22,19,46,26,14,6,Research Institute,Private University,Australia,Australia,368,338,7,6,1,0,0,1,3,8,13,36.0,87,1
Quantum Computing,Cybersecurity,19,3,39,12,18,12,IIT,NIT,India,Germany,273,72,5,5,0,0,0,0,16,6,10,25.5,34,0
NLP,Cybersecurity,8,8,21,16,4,12,IIT,Central University,UK,USA,189,336,8,7,1,0,0,0,0,8,15,18.5,52,0
IoT,Cybersecurity,2,3,16,29,5,22,Central University,Central University,UK,Germany,384,638,7,7,0,0,1,0,1,17,14,22.5,35,0
Bioinformatics,Machine Learning,4,9,13,22,4,9,IIT,Research Institute,Germany,India,65,110,6,2,1,0,0,0,5,5,8,17.5,38,0
Data Science,Computer Vision,7,6,29,21,28,14,NIT,IIT,Canada,India,261,210,3,2,1,0,0,0,1,14,5,25.0,46,0
Robotics,Quantum Computing,16,5,33,30,2,29,NIT,NIT,India,USA,231,150,1,3,0,0,1,0,11,27,4,31.5,25,0
NLP,Computer Vision,9,8,30,16,13,12,Private University,Research Institute,Canada,USA,180,272,7,3,1,0,0,0,1,1,10,23.0,55,1
IoT,NLP,9,7,28,24,19,24,Central University,Research Institute,UK,Australia,252,456,2,8,0,0,0,0,2,5,10,26.0,73,1
Computer Vision,Computer Vision,3,6,15,28,1,20,NIT,Research Institute,UK,India,120,224,3,5,6,1,0,0,3,19,8,21.5,87,1
Bioinformatics,Cybersecurity,16,14,33,28,7,15,Research Institute,Private University,Canada,Canada,594,392,6,6,1,0,0,1,2,8,12,30.5,66,1
Robotics,Robotics,1,6,28,17,21,21,IIT,IIT,Australia,Canada,616,408,4,6,6,1,1,0,5,0,10,22.5,68,1
Bioinformatics,Quantum Computing,8,4,33,25,29,2,Research Institute,IIT,India,UK,792,500,5,0,1,0,0,0,4,27,5,29.0,47,0
Cloud Computing,Data Science,5,14,22,27,2,19,Private University,IIT,Canada,Australia,264,243,5,0,0,0,0,0,9,17,5,24.5,31,0
Data Science,IoT,9,12,38,21,17,15,IIT,IIT,Germany,Germany,342,483,3,6,0,0,1,1,3,2,9,29.5,73,1
Data Science,NLP,5,6,26,30,10,18,Private University,Private University,Canada,USA,260,210,0,0,1,0,1,0,1,8,0,28.0,43,0
Cloud Computing,Cloud Computing,17,24,39,35,18,16,Central University,Private University,Australia,Germany,546,210,4,9,6,1,0,0,7,2,13,37.0,86,1
Cybersecurity,Data Science,8,4,21,24,28,17,Research Institute,NIT,UK,India,462,168,5,9,1,0,0,0,4,11,14,22.5,36,0
Bioinformatics,IoT,11,10,28,40,21,28,Private University,Research Institute,USA,Australia,336,680,7,1,1,0,0,0,1,7,8,34.0,69,1
Cybersecurity,IoT,5,11,23,31,12,19,Central University,Central University,India,USA,391,341,5,8,1,0,1,0,6,7,13,27.0,39,0
IoT,Bioinformatics,29,8,45,28,5,25,NIT,Central University,UK,UK,315,392,0,4,1,0,0,1,21,20,4,36.5,40,0
Quantum Computing,Machine Learning,8,4,22,25,20,25,Central University,Research Institute,Australia,USA,176,150,5,4,0,0,0,0,4,5,9,23.5,64,1
Computer Vision,Cybersecurity,10,5,25,25,5,21,NIT,Private University,Canada,Australia,200,300,3,6,0,0,0,0,5,16,9,25.0,44,0
Robotics,IoT,14,6,44,20,23,20,Private University,Private University,Canada,India,484,160,3,7,1,0,1,0,8,3,10,32.0,43,0
Computer Vision,Cybersecurity,10,9,26,32,14,13,Central University,NIT,USA,UK,598,256,5,6,0,0,0,0,1,1,11,29.0,50,0
Quantum Computing,Cloud Computing,6,4,29,35,11,6,Central University,Research Institute,Germany,UK,493,665,0,6,0,0,0,0,2,5,6,32.0,65,1
Cybersecurity,Data Science,12,9,33,15,11,10,Research Institute,Private University,UK,UK,693,105,5,9,0,0,0,1,3,1,14,24.0,59,1
Bioinformatics,Computer Vision,9,6,32,25,5,9,Central University,NIT,USA,UK,256,450,5,8,0,0,0,0,3,4,13,28.5,74,1
Computer Vision,NLP,9,8,26,18,3,6,Research Institute,NIT,Canada,USA,468,288,7,8,0,0,0,0,1,3,15,22.0,58,1
IoT,Quantum Computing,2,4,21,14,7,21,Central University,Research Institute,Canada,Australia,210,196,1,9,1,0,0,0,2,14,10,17.5,53,0
Bioinformatics,Bioinformatics,9,12,19,24,19,1,IIT,NIT,USA,UK,437,504,8,7,6,1,0,0,3,18,15,21.5,76,1
NLP,Cloud Computing,8,10,42,20,2,25,Central University,NIT,India,UK,420,120,5,9,1,0,0,0,2,23,14,31.0,55,1
Machine Learning,Bioinformatics,7,8,31,42,8,26,IIT,NIT,Australia,Canada,310,336,9,3,1,0,0,0,1,18,12,36.5,59,1
IoT,Quantum Computing,10,14,26,32,27,6,IIT,Central University,India,Germany,338,352,7,3,0,0,0,0,4,21,10,29.0,47,0
IoT,NLP,8,5,20,15,8,14,Private University,IIT,UK,UK,260,180,3,1,1,0,0,1,3,6,4,17.5,69,1
IoT,Cybersecurity,4,29,24,49,27,28,IIT,Private University,India,India,528,980,7,4,1,0,0,1,25,1,11,36.5,42,0
Quantum Computing,NLP,10,4,24,20,13,1,IIT,Research Institute,USA,UK,408,160,1,8,1,0,0,0,6,12,9,22.0,36,0
Computer Vision,Cloud Computing,6,21,15,42,9,15,NIT,Private University,India,Australia,360,672,5,8,0,0,0,0,15,6,13,28.5,33,0
Quantum Computing,Cloud Computing,9,13,28,30,28,11,Research Institute,Private University,USA,Germany,140,600,4,5,0,0,0,0,4,17,9,29.0,34,0
IoT,Cybersecurity,11,16,33,26,29,9,Central University,Central University,Australia,Australia,660,624,1,0,1,0,1,1,5,20,1,29.5,27,0
Quantum Computing,Computer Vision,9,13,49,38,3,1,IIT,NIT,Australia,Canada,882,380,3,6,0,0,0,0,4,2,9,43.5,46,0
Robotics,Computer Vision,3,8,8,24,3,22,Central University,NIT,Canada,USA,184,480,3,8,0,0,0,0,5,19,11,16.0,43,0
NLP,NLP,9,14,30,28,7,14,Research Institute,IIT,India,Germany,540,280,8,4,6,1,0,0,5,7,12,29.0,73,1
IoT,Bioinformatics,7,4,22,14,25,4,Research Institute,IIT,Germany,USA,396,168,4,1,0,0,0,0,3,21,5,18.0,48,0
Bioinformatics,IoT,12,22,57,49,12,12,Central University,IIT,Canada,Canada,399,245,1,4,0,0,0,1,10,0,5,53.0,45,0
Robotics,Quantum Computing,10,3,34,16,1,9,Central University,NIT,Canada,Germany,408,368,6,9,1,0,0,0,7,8,15,25.0,47,0
Computer Vision,NLP,8,7,32,41,23,23,Research Institute,Central University,USA,USA,352,410,3,5,1,0,0,1,1,0,8,36.5,72,1
Computer Vision,Bioinformatics,12,8,25,54,28,16,IIT,Research Institute,USA,Canada,350,918,0,3,1,0,0,0,4,12,3,39.5,46,0
Quantum Computing,Computer Vision,6,5,22,17,17,24,Central University,Private University,Germany,Canada,308,391,5,6,0,0,0,0,1,7,11,19.5,53,0
Bioinformatics,Cloud Computing,8,9,24,33,14,13,Private University,Research Institute,UK,Germany,408,528,0,0,0,0,0,0,1,1,0,28.5,41,0
IoT,Machine Learning,10,11,35,26,13,1,IIT,Private University,Australia,Canada,665,208,6,1,0,0,0,0,1,12,7,30.5,63,1
Data Science,Machine Learning,12,9,39,40,19,11,Research Institute,IIT,UK,USA,741,680,8,9,1,0,0,0,3,8,17,39.5,87,1
Quantum Computing,Bioinformatics,16,4,38,11,29,13,Research Institute,Research Institute,India,India,380,209,2,9,0,0,1,1,12,16,11,24.5,43,0
NLP,IoT,6,8,38,27,21,28,Private University,Central University,Australia,USA,570,432,1,1,1,0,0,0,2,7,2,32.5,52,0
Quantum Computing,IoT,5,11,39,28,11,2,Private University,IIT,Canada,Germany,780,252,9,6,1,0,0,0,6,9,15,33.5,44,0
Data Science,Data Science,7,7,18,24,28,6,Private University,IIT,UK,USA,396,216,2,7,6,1,0,0,0,22,9,21.0,90,1
Data Science,IoT,5,10,23,28,13,26,Private University,Central University,Canada,Canada,506,504,4,5,0,0,0,1,5,13,9,25.5,49,0
Cybersecurity,IoT,11,7,23,24,10,4,Research Institute,IIT,India,UK,207,528,9,8,0,0,0,0,4,6,17,23.5,52,0
Bioinformatics,Cybersecurity,10,11,28,23,13,14,Central University,Research Institute,India,India,644,368,2,4,1,0,0,1,1,1,6,25.5,65,1
Cloud Computing,Machine Learning,6,2,34,23,3,26,Private University,NIT,Germany,Australia,578,529,1,4,0,0,0,0,4,23,5,28.5,37,0
Data Science,IoT,14,3,66,18,27,20,Research Institute,IIT,Germany,USA,396,234,5,9,1,0,0,0,11,7,14,42.0,37,0
Bioinformatics,Bioinformatics,10,8,32,14,6,25,Research Institute,Private University,USA,Canada,256,322,5,1,6,1,0,0,2,19,6,23.0,93,1
IoT,Quantum Computing,22,3,27,20,15,17,IIT,NIT,India,Canada,216,420,6,0,0,0,0,0,19,2,6,23.5,39,0
NLP,Machine Learning,8,14,25,44,14,10,Central University,Research Institute,Australia,Germany,500,880,1,1,0,0,0,0,6,4,2,34.5,52,0
Computer Vision,IoT,14,13,28,33,1,8,NIT,IIT,India,Canada,224,429,8,1,1,0,0,0,1,7,9,30.5,63,1
NLP,Bioinformatics,9,8,22,21,3,28,Private University,Research Institute,Canada,Canada,396,420,1,5,1,0,0,1,1,25,6,21.5,51,0
Bioinformatics,IoT,10,5,17,19,7,7,Private University,NIT,Germany,Germany,119,209,7,0,0,0,0,1,5,0,7,18.0,48,0
Cloud Computing,Robotics,6,6,40,48,23,18,NIT,Research Institute,Germany,Australia,560,864,9,3,0,0,0,0,0,5,12,44.0,64,1
NLP,Cybersecurity,13,9,23,20,18,25,IIT,Central University,UK,Australia,368,420,6,9,0,0,0,0,4,7,15,21.5,62,1
Bioinformatics,Bioinformatics,14,9,29,26,9,2,IIT,Research Institute,UK,Australia,290,416,4,3,6,1,0,0,5,7,7,27.5,89,1
IoT,Cloud Computing,9,4,15,8,19,24,NIT,Private University,Germany,UK,135,112,0,6,0,0,0,0,5,5,6,11.5,60,1
Data Science,Cybersecurity,8,10,27,14,21,3,Research Institute,Private University,Australia,UK,648,266,2,1,1,0,0,0,2,18,3,20.5,53,0
Robotics,Cybersecurity,8,4,28,33,2,13,NIT,NIT,Australia,Germany,560,561,8,1,0,0,1,0,4,11,9,30.5,32,0
Machine Learning,IoT,8,15,20,30,21,25,Central University,Private University,Canada,Germany,240,630,5,5,1,0,0,0,7,4,10,25.0,49,0
NLP,NLP,12,6,33,18,6,20,Private University,Research Institute,India,Australia,198,270,5,8,6,1,0,0,6,14,13,25.5,65,1
Data Science,Computer Vision,16,7,23,32,28,6,IIT,Research Institute,Germany,Germany,368,352,5,4,0,0,0,1,9,22,9,27.5,32,0
Machine Learning,NLP,12,4,36,29,16,22,NIT,IIT,Germany,Germany,540,232,4,7,0,0,0,1,8,6,11,32.5,65,1
Bioinformatics,Cybersecurity,12,9,25,17,12,28,Central University,IIT,Australia,UK,200,221,9,0,0,0,0,0,3,16,9,21.0,56,1
Cloud Computing,IoT,13,14,33,33,19,1,Private University,Research Institute,UK,India,495,693,4,3,1,0,0,0,1,18,7,33.0,69,1
Quantum Computing,Bioinformatics,9,4,24,21,20,15,IIT,NIT,USA,Canada,576,378,8,4,1,0,0,0,5,5,12,22.5,50,0
Computer Vision,Computer Vision,4,2,24,26,6,4,Private University,Private University,India,USA,288,182,0,7,6,1,1,0,2,2,7,25.0,86,1
Bioinformatics,Data Science,7,5,14,37,22,16,IIT,IIT,India,UK,308,222,9,1,0,0,1,0,2,6,10,25.5,67,1
Data Science,NLP,8,12,17,34,1,4,Central University,NIT,Germany,Australia,255,306,6,9,0,0,0,0,4,3,15,25.5,50,0
Cybersecurity,NLP,9,41,18,49,27,20,Research Institute,NIT,Canada,USA,126,343,9,2,0,0,0,0,32,7,11,33.5,43,0
Computer Vision,Quantum Computing,2,5,30,30,20,24,Research Institute,NIT,Germany,Germany,660,510,3,8,0,0,0,1,3,4,11,30.0,63,1
